item_name,category
Monk's Branch,most_likely_buy
Oil of Corruption,most_likely_buy
Oil of Fortitude,most_likely_buy
Oil of Regeneration,most_likely_buy
Oil of Storms,most_likely_buy
Oil of Tranquility,most_likely_buy
Gem of Void,most_likely_buy
Crystallized Despair,most_likely_buy
Forest Fury,most_likely_buy
Dehkia's Fragment,most_likely_buy
Lightstone of Fire: Aerial,most_likely_buy
Lightstone of Fire: Ground,most_likely_buy
Lightstone of Earth: Roots,most_likely_buy
Lightstone of Earth: Boulder,most_likely_buy
Lightstone of Earth: Swamp,most_likely_buy
Alchemy Stone Shard,most_likely_buy
Black Stone,most_likely_buy
Black Stone Powder,most_likely_buy
Birch Sap,most_likely_buy
Pine Sap,most_likely_buy
Maple Sap,most_likely_buy
Snowfield Cedar Sap,most_likely_buy
Fir Sap,most_likely_buy
Cedar Sap,most_likely_buy
Ash Sap,most_likely_buy
Sealed Black Magic Crystal,most_likely_buy
Lion Blood,most_likely_buy
Bear Blood,most_likely_buy
Wolf Blood,most_likely_buy
Fox Blood,most_likely_buy
Deer Blood,most_likely_buy
Rhino Blood,most_likely_buy
Clown's Blood,most_likely_buy
Tyrant's Blood,most_likely_buy
Wise Man's Blood,most_likely_buy
Powder of Darkness,most_likely_buy
Powder of Flame,most_likely_buy
Powder of Earth,most_likely_buy
Powder of Time,most_likely_buy
Special Bluffer Mushroom,most_likely_buy
Special Amanita Mushroom,most_likely_buy
Special Ancient Mushroom,most_likely_buy
Special Hump Mushroom,most_likely_buy
Trace of Nature,most_likely_buy
Pure Powder Reagent,most_likely_buy
Purified Water,most_likely_buy
Monk's Branches,most_likely_buy
Sharp Black Crystal Shard,most_likely_buy
Cup of a Lonely Cloud,most_likely_buy
Cup of Dwindling Starlight,most_likely_buy
Cup of Lone Tide,most_likely_buy
Cup of Tragic Nightfall,most_likely_buy
Cup of Earth's Sorrows,most_likely_buy
Corrupt Oil of Immortality,most_likely_buy
Herald's Crystal,most_likely_buy
Heralds Crystal,most_likely_buy
Concentrated Magical Black Stone,most_likely_sell
Crystal of Void Destruction,most_likely_sell
Crystal of Void - Ah'krad,most_likely_sell
[Party] Harmony Draught - Human,most_likely_sell
[Party] Harmony Draught - Demihuman,most_likely_sell
[Party] Harmony Draught - Kamasylvia,most_likely_sell
[Party] Harmony Draught - Edania,most_likely_sell
Magical Shard,most_likely_sell
Dehkia's Artifact - All Damage Reduction,most_likely_sell
Cup of Destined Dawn,most_likely_sell
Cup of Callous Sunset,most_likely_sell
Cup of Reticent Moonbeams,most_likely_sell
Cup of Burgeoning Dusk,most_likely_sell
Blessed Soul Fragment,most_likely_sell
Exalted Soul Fragment,most_likely_sell
[Party] Immortal: Harmony Draught - Human,most_likely_sell
